Topic,Difficulty,ResourceType,Title,Link
Arrays,Easy,Video,Arrays in Data Structures,https://www.youtube.com/watch?v=55l-aZ7_F24
Arrays,Medium,Article,Array Data Structure Explained,https://www.geeksforgeeks.org/array-data-structure/
Linked Lists,Easy,Video,Linked List Explained,https://www.youtube.com/watch?v=njTh_OwMljA
Linked Lists,Medium,Article,Linked List Data Structure,https://www.geeksforgeeks.org/data-structures/linked-list/
Sorting,Easy,Video,Sorting Algorithms Explained,https://www.youtube.com/watch?v=ZZuD6iUe3Pc
Sorting,Medium,Article,Sorting Algorithms Overview,https://www.geeksforgeeks.org/sorting-algorithms/
Stacks,Easy,Video,Stack Data Structure,https://www.youtube.com/watch?v=wjI1WNcIntg
Queues,Easy,Video,Queue Data Structure,https://www.youtube.com/watch?v=XuCbpw6Bj1U
